seller,kind,name,species,quality,thickness,width,length,price,area_m2,price_per_m2
drevoma.sk,Board,Škárovka priebežná Dub 30x670x1800 mm RUSTIC,Oak,RUSTIC,30,670,1800,4273.101,1.206,3543.2017
drevoma.sk,Board,Škárovka priebežná Dub 40x670x1200 mm AB,Oak,AB,40,670,1200,3625.3977,0.804,4509.201
drevoma.sk,Board,Škárovka priebežná Dub 40x670x1400 mm AB,Oak,AB,40,670,1400,4229.631,0.938,4509.201
drevoma.sk,Board,Škárovka cinkovaná Jaseň 25x660x4000 mm,Ash,,25,660,4000,4781.6997,2.64,1811.2499
drevoma.sk,Board,Škárovka priebežná Borovica 18x800x2500mm AB,Pine,AB,18,800,2500,1466.3881,2.0,733.19403
drevoma.sk,Board,Škárovka cinkovaná Buk 40x840x4100 mm,Beech,,40,840,4100,6398.7837,3.444,1857.9512
drevoma.sk,Board,Škárovka priebežná Buk 20x650x1000 mm AB,Beech,AB,20,650,1000,704.4555,0.65,1083.7777
drevoma.sk,Board,Škárovka priebežná Buk 20x650x2400 mm AB,Beech,AB,20,650,2400,1934.8981,1.56,1240.3193
drevoma.sk,Board,Škárovka priebežná Dub 40x670x1600 mm RUSTIC,Oak,RUSTIC,40,670,1600,4946.4033,1.072,4614.182
drevoma.sk,Board,Škárovka priebežná Buk 33x650x2200 mm AB,Beech,AB,33,650,2200,2639.3535,1.43,1845.7018
drevoma.sk,Board,Škárovka priebežná Buk 33x650x1400 mm AB,Beech,AB,33,650,1400,1566.369,0.90999997,1721.2847
drevoma.sk,Board,Škárovka priebežná Jaseň 25x600x2200 mm AB,Ash,AB,25,600,2200,2725.569,1.32,2064.825
drevoma.sk,Board,Škárovka priebežná Buk 33x650x1600 mm AB,Beech,AB,33,650,1600,1790.2394,1.04,1721.384
drevoma.sk,Board,Škárovka priebežná Dub 20x670x1400 mm AB,Oak,AB,20,670,1400,2196.9255,0.938,2342.138
drevoma.sk,Board,Škárovka cinkovaná Dub 18x650x4000 mm RUSTIC,Oak,RUSTIC,18,650,4000,3262.182,2.6,1254.6854
drevoma.sk,Board,Škárovka cinkovaná Buk 40x630x4100 mm,Beech,,40,630,4100,4775.904,2.583,1848.9756
drevoma.sk,Board,Škárovka cinkovaná Orech americký 18x650x4000 mm,Walnut,,18,650,4000,4882.647,2.6,1877.9412
drevoma.sk,Board,Škárovka priebežná Dub 30x670x1800 mm AB,Oak,AB,30,670,1800,4497.9375,1.206,3729.633
drevoma.sk,Board,Škárovka priebežná Dub 30x670x2200 mm AB,Oak,AB,30,670,2200,5497.506,1.474,3729.6514
drevoma.sk,Board,Škárovka priebežná Dub 30x670x2400 mm AB,Oak,AB,30,670,2400,5997.4106,1.608,3729.733
drevoma.sk,Board,Škárovka priebežná Jaseň 25x660x1000 mm AB,Ash,AB,25,660,1000,1362.7845,0.66,2064.825
drevoma.sk,Board,Škárovka priebežná Dub 30x670x1200 mm RUSTIC,Oak,RUSTIC,30,670,1200,2649.255,0.804,3295.093
drevoma.sk,Board,Škárovka priebežná Buk 33x650x1000 mm AB,Beech,AB,33,650,1000,1118.8695,0.65,1721.3378
drevoma.sk,Board,Škárovka priebežná Dub 30x670x1400 mm RUSTIC,Oak,RUSTIC,30,670,1400,3090.717,0.938,3295.0073
drevoma.sk,Board,Škárovka priebežná Dub 20x670x1000 mm RUSTIC,Oak,RUSTIC,20,670,1000,1471.7009,0.67,2196.5686
drevoma.sk,Board,Škárovka priebežná Dub 30x670x2400 mm RUSTIC,Oak,RUSTIC,30,670,2400,5697.468,1.608,3543.2012
drevoma.sk,Board,Škárovka priebežná Dub 40x670x1600 mm AB,Oak,AB,40,670,1600,5206.74,1.072,4857.0337
drevoma.sk,Board,Škárovka priebežná Buk 20x650x1800 mm AB,Beech,AB,20,650,1800,1268.1165,1.17,1083.8602
drevoma.sk,Board,Škárovka priebežná Buk 20x650x1600 mm AB,Beech,AB,20,650,1600,1127.322,1.04,1083.9635
drevoma.sk,Board,Škárovka priebežná Jaseň 40x660x1200 mm AB,Ash,AB,40,660,1200,2616.6523,0.79200006,3303.8538
drevoma.sk,Board,Škárovka priebežná Jaseň 25x660x2000 mm AB,Ash,AB,25,660,2000,2725.569,1.32,2064.825
drevoma.sk,Board,Škárovka priebežná Jaseň 40x660x2800 mm AB,Ash,AB,40,660,2800,6746.061,1.8480002,3650.4656
drevoma.sk,Board,Škárovka cinkovaná Dub 40x800x4000 mm AB/BC,Oak,AB/BC,40,800,4000,8531.712,3.2,2666.16
drevoma.sk,Board,Škárovka priebežná Dub 20x670x1400 mm RUSTIC,Oak,RUSTIC,20,670,1400,2086.8015,0.938,2224.735
drevoma.sk,Board,Škárovka priebežná Buk 33x650x2000 mm AB,Beech,AB,33,650,2000,2399.544,1.3,1845.8031
drevoma.sk,Board,Škárovka cinkovaná Dub 40x650x4000 mm AB/BC,Oak,AB/BC,40,650,4000,6932.016,2.6,2666.1602
drevoma.sk,Board,Škárovka priebežná Dub 40x670x800 mm RUSTIC,Oak,RUSTIC,40,670,800,2291.835,0.536,4275.8115
drevoma.sk,Board,Škárovka priebežná Dub 40x670x2000 mm RUSTIC,Oak,RUSTIC,40,670,2000,6183.1245,1.34,4614.272
drevoma.sk,Board,Škárovka priebežná Jaseň 40x660x1800 mm AB,Ash,AB,40,660,1800,3923.1675,1.188,3302.3296
drevoma.sk,Board,Škárovka cinkovaná Jaseň 25x800x4000 mm,Ash,,25,800,4000,5796.0,3.2,1811.25
drevoma.sk,Board,Škárovka priebežná Buk 33x650x2400 mm AB,Beech,AB,33,650,2400,2879.4045,1.56,1845.7722
drevoma.sk,Board,Škárovka priebežná Buk 33x650x2500 mm AB,Beech,AB,33,650,2500,2999.43,1.625,1845.803
drevoma.sk,Board,Škárovka cinkovaná Orech americký 38x650x4000 mm,Walnut,,38,650,4000,10307.703,2.6,3964.5015
drevoma.sk,Board,Škárovka cinkovaná Dub 45x700x5000 mm RUSTIC,Oak,RUSTIC,45,700,5000,11410.875,3.5,3260.25
